#,Name,Current Price (USD),1h%,24h%,7d%,Market Cap (USD),Logo,Symbol,Description,Creation Date,Website,Source Code,Trading Volume Consistency,Token Age & Market History,Developer & Team Transparency,Exchange Listings & Reputation,Liquidity & Order Book Depth,Smart Contract Audit & Security,Community & Social Media Presence,Transaction Patterns & Anomalies,Whitepaper & Roadmap Execution,Regulatory Compliance & Legal Standing
14,Avalanche,21.80,0.17,3.77,1.88,"9,195,869,631.79",https://s2.coinmarketcap.com/static/img/coins/64x64/5805.png,AVAX,"Avalanche (AVAX) is a cryptocurrency launched in 2020. Avalanche has a current supply of 456,815,199.21806043 with 421,812,499.21806043 in circulation. The last known price of Avalanche is 21.71747117 USD and is up 3.56 over the last 24 hours. It is currently trading on 920 active market(s) with $521,281,558.38 traded over the last 24 hours. More information can be found at https://avax.network/.",2020-07-13,https://avax.network/,https://github.com/ava-labs/avalanchego,8,9,8,7,5,5,5,5,5,5
15,Stellar,0.28,-0.12,3.46,-0.03,"8,601,342,649.36",https://s2.coinmarketcap.com/static/img/coins/64x64/512.png,XLM,"Stellar (XLM) is a cryptocurrency . Stellar has a current supply of 50,001,786,892.81785 with 31,200,398,514.887817 in circulation. The last known price of Stellar is 0.27552695 USD and is up 3.36 over the last 24 hours. It is currently trading on 712 active market(s) with $251,101,895.69 traded over the last 24 hours. More information can be found at https://www.stellar.org.",2014-08-05,https://www.stellar.org,https://github.com/stellar/stellar-core,8,9,8,7,5,5,5,5,5,5
16,Bitcoin Cash,428.91,-0.38,2.70,5.11,"8,527,500,021.79",https://s2.coinmarketcap.com/static/img/coins/64x64/1831.png,BCH,"Bitcoin Cash (BCH) is a cryptocurrency . Users are able to generate BCH through the process of mining. Bitcoin Cash has a current supply of 19,881,737.5. The last known price of Bitcoin Cash is 428.26719068 USD and is up 2.38 over the last 24 hours. It is currently trading on 1023 active market(s) with $423,481,894.66 traded over the last 24 hours. More information can be found at http://bch.info.",2017-07-23,http://bch.info,https://gitlab.com/bitcoin-cash-node/,8,9,8,7,5,5,5,5,5,5
17,Toncoin,3.33,-0.06,2.43,3.80,"8,201,140,512.44",https://s2.coinmarketcap.com/static/img/coins/64x64/11419.png,TON,"Toncoin (TON) is a cryptocurrency . Toncoin has a current supply of 5,132,194,985.55489491 with 2,466,247,133.05971005 in circulation. The last known price of Toncoin is 3.324735 USD and is up 3.27 over the last 24 hours. It is currently trading on 746 active market(s) with $298,193,447.43 traded over the last 24 hours. More information can be found at https://ton.org/.",2021-08-26,https://ton.org/,https://github.com/ton-blockchain,8,9,8,7,5,5,5,5,5,5
18,UNUS SED LEO,8.86,-0.05,-3.51,0.45,"8,181,666,415.92",https://s2.coinmarketcap.com/static/img/coins/64x64/3957.png,LEO,"UNUS SED LEO (LEO) is a cryptocurrency and operates on the Ethereum platform. UNUS SED LEO has a current supply of 985,239,504 with 923,270,643.9 in circulation. The last known price of UNUS SED LEO is 8.88648486 USD and is down -3.40 over the last 24 hours. It is currently trading on 61 active market(s) with $7,213,564.36 traded over the last 24 hours. More information can be found at https://www.bitfinex.com/.",2019-05-21,https://www.bitfinex.com/,N/A,8,9,3,7,5,5,5,5,5,5
19,Shiba Inu,0.00,0.34,3.42,-2.44,"7,646,846,299.93",https://s2.coinmarketcap.com/static/img/coins/64x64/5994.png,SHIB,"Shiba Inu (SHIB) is a cryptocurrency launched in 2020and operates on the Ethereum platform. Shiba Inu has a current supply of 589,503,931,774,326.25655314 with 589,249,397,493,470.98310577 in circulation. The last known price of Shiba Inu is 0.00001292 USD and is up 2.97 over the last 24 hours. It is currently trading on 968 active market(s) with $228,452,511.88 traded over the last 24 hours. More information can be found at https://shibatoken.com/.",2020-08-01,https://shibatoken.com/,https://github.com/shytoshikusama/,8,9,8,7,5,5,5,5,5,5
20,Hedera,0.18,0.08,4.64,2.46,"7,565,080,605.15",https://s2.coinmarketcap.com/static/img/coins/64x64/4642.png,HBAR,"Hedera (HBAR) is a cryptocurrency launched in 2017. Hedera has a current supply of 50,000,000,000 with 42,239,760,471.58468308 in circulation. The last known price of Hedera is 0.17852793 USD and is up 4.34 over the last 24 hours. It is currently trading on 345 active market(s) with $143,317,590.50 traded over the last 24 hours. More information can be found at https://www.hedera.com/.",2019-09-17,https://www.hedera.com/,https://github.com/hashgraph,8,9,8,7,5,5,5,5,5,5
21,Litecoin,90.70,-0.07,2.96,0.75,"6,889,080,230.73",https://s2.coinmarketcap.com/static/img/coins/64x64/2.png,LTC,"Litecoin (LTC) is a cryptocurrency . Users are able to generate LTC through the process of mining. Litecoin has a current supply of 84,000,000 with 75,950,895.73347135 in circulation. The last known price of Litecoin is 90.44617925 USD and is up 2.60 over the last 24 hours. It is currently trading on 1374 active market(s) with $441,094,539.77 traded over the last 24 hours. More information can be found at https://litecoin.org/.",2013-04-28,https://litecoin.org/,https://github.com/litecoin-project/litecoin,8,9,8,7,5,5,5,5,5,5
22,Polkadot,4.23,0.67,4.96,0.94,"6,707,585,237.90",https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png,DOT,"Polkadot (DOT) is a cryptocurrency . Polkadot has a current supply of 1,585,841,399.89937524. The last known price of Polkadot is 4.2114463 USD and is up 4.40 over the last 24 hours. It is currently trading on 916 active market(s) with $280,918,250.48 traded over the last 24 hours. More information can be found at https://polkadot.com.",2020-08-19,https://polkadot.com,https://github.com/paritytech/polkadot-sdk,8,9,8,7,5,5,5,5,5,5
23,Monero,331.04,-0.37,0.74,-5.35,"6,106,693,340.50",https://s2.coinmarketcap.com/static/img/coins/64x64/328.png,XMR,"Monero (XMR) is a cryptocurrency . Users are able to generate XMR through the process of mining. Monero has a current supply of 18,446,744.07370955. The last known price of Monero is 330.24176451 USD and is up 0.48 over the last 24 hours. It is currently trading on 321 active market(s) with $94,048,839.11 traded over the last 24 hours. More information can be found at https://www.getmonero.org/.",2014-05-21,https://www.getmonero.org/,https://github.com/monero-project/monero,8,9,8,7,5,5,5,5,5,5
24,Ethena USDe,1.00,-0.01,0.00,-0.05,"5,874,748,702.60",https://s2.coinmarketcap.com/static/img/coins/64x64/29470.png,USDe,"Ethena USDe (USDe) is a cryptocurrency and operates on the Ethereum platform. Ethena USDe has a current supply of 5,870,659,509.97294831. The last known price of Ethena USDe is 1.00063677 USD and is down -0.01 over the last 24 hours. It is currently trading on 153 active market(s) with $132,205,627.29 traded over the last 24 hours. More information can be found at https://www.ethena.fi/.",2024-02-20,https://www.ethena.fi/,https://github.com/ethena-labs,8,7,8,7,5,5,5,5,5,5
25,Bitget Token,4.78,-0.33,1.88,-1.58,"5,593,444,977.86",https://s2.coinmarketcap.com/static/img/coins/64x64/11092.png,BGB,"Bitget Token (BGB) is a cryptocurrency and operates on the Ethereum platform. Bitget Token has a current supply of 1,169,993,089.2. The last known price of Bitget Token is 4.77950022 USD and is up 1.88 over the last 24 hours. It is currently trading on 31 active market(s) with $38,613,584.58 traded over the last 24 hours. More information can be found at https://www.bitget.com/.",2021-07-29,https://www.bitget.com/,N/A,8,9,3,7,5,5,5,5,5,5
26,Dai,1.00,0.00,-0.03,-0.03,"5,363,835,335.20",https://s2.coinmarketcap.com/static/img/coins/64x64/4943.png,DAI,"Dai (DAI) is a cryptocurrency and operates on the Ethereum platform. Dai has a current supply of 5,365,382,702.664872. The last known price of Dai is 0.99972434 USD and is down -0.03 over the last 24 hours. It is currently trading on 3524 active market(s) with $19,361,330,474.46 traded over the last 24 hours. More information can be found at https://makerdao.com/.",2019-11-22,https://makerdao.com/,N/A,8,9,3,7,5,5,5,5,5,5
27,Pepe,0.00,-0.33,6.93,-1.12,"5,332,403,010.93",https://s2.coinmarketcap.com/static/img/coins/64x64/24478.png,PEPE,"Pepe (PEPE) is a cryptocurrency launched in 2023and operates on the Ethereum platform. Pepe has a current supply of 420,689,899,653,543.53949133. The last known price of Pepe is 0.00001261 USD and is up 6.32 over the last 24 hours. It is currently trading on 577 active market(s) with $1,671,201,216.00 traded over the last 24 hours. More information can be found at https://www.pepe.vip/.",2023-04-17,https://www.pepe.vip/,N/A,6,7,3,7,5,5,5,5,5,5
28,Uniswap,8.15,0.35,25.07,20.86,"5,125,569,444.70",https://s2.coinmarketcap.com/static/img/coins/64x64/7083.png,UNI,"Uniswap (UNI) is a cryptocurrency launched in 2020and operates on the Ethereum platform. Uniswap has a current supply of 1,000,000,000 with 628,739,836.71 in circulation. The last known price of Uniswap is 8.03994861 USD and is up 23.54 over the last 24 hours. It is currently trading on 1241 active market(s) with $1,010,239,450.69 traded over the last 24 hours. More information can be found at https://uniswap.org/blog/uni/.",2020-09-17,https://uniswap.org/blog/uni/,N/A,4,9,3,7,5,5,5,5,5,5
