#,Name,Current Price (USD),1h%,24h%,7d%,Market Cap (USD),Logo,Symbol,Description,Creation Date,Website,Source Code,Trading Volume Consistency,Liquidity and Order Book Depth,Token Age and Market History,Developer and Team Transparency,Smart Contract Audit and Security Measures,Exchange Listings and Reputation,Community and Social Media Presence,Transaction Patterns and Anomalies,Whitepaper and Roadmap Assessment,Regulatory Compliance and Legal Standing,Total Score
21,Litecoin,86.34,0.15,3.11,-2.22,"6,558,711,008.52",https://s2.coinmarketcap.com/static/img/coins/64x64/2.png,LTC,"Litecoin (LTC) is a cryptocurrency . Users are able to generate LTC through the process of mining. Litecoin has a current supply of 84,000,000 with 75,964,339.48347135 in circulation. The last known price of Litecoin is 86.2350024 USD and is up 3.16 over the last 24 hours. It is currently trading on 1374 active market(s) with $337,181,289.41 traded over the last 24 hours. More information can be found at https://litecoin.org/.",2013-04-28,https://litecoin.org/,https://github.com/litecoin-project/litecoin,2,8,1,4,2,4,4,3,2,3,54
22,Polkadot,3.80,0.13,-0.61,-5.45,"6,031,603,653.01",https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png,DOT,"Polkadot (DOT) is a cryptocurrency . Polkadot has a current supply of 1,587,195,679.11138449. The last known price of Polkadot is 3.79827055 USD and is down -0.41 over the last 24 hours. It is currently trading on 916 active market(s) with $183,320,440.16 traded over the last 24 hours. More information can be found at https://polkadot.com.",2020-08-19,https://polkadot.com,https://github.com/paritytech/polkadot-sdk,2,8,1,4,2,4,4,3,2,3,55
23,Ethena USDe,1.00,-0.01,0.02,-0.09,"5,896,534,851.43",https://s2.coinmarketcap.com/static/img/coins/64x64/29470.png,USDe,"Ethena USDe (USDe) is a cryptocurrency and operates on the Ethereum platform. Ethena USDe has a current supply of 5,894,114,219.59162258. The last known price of Ethena USDe is 1.00047063 USD and is up 0.02 over the last 24 hours. It is currently trading on 159 active market(s) with $75,776,464.76 traded over the last 24 hours. More information can be found at https://www.ethena.fi/.",2024-02-20,https://www.ethena.fi/,https://github.com/ethena-labs,2,8,1,4,2,4,4,3,2,3,56
24,Monero,313.34,0.16,-0.99,-4.66,"5,780,065,134.74",https://s2.coinmarketcap.com/static/img/coins/64x64/328.png,XMR,"Monero (XMR) is a cryptocurrency . Users are able to generate XMR through the process of mining. Monero has a current supply of 18,446,744.07370955. The last known price of Monero is 313.34465251 USD and is down -1.00 over the last 24 hours. It is currently trading on 321 active market(s) with $87,524,978.12 traded over the last 24 hours. More information can be found at https://www.getmonero.org/.",2014-05-21,https://www.getmonero.org/,https://github.com/monero-project/monero,2,8,1,4,2,4,4,3,2,3,57
25,Dai,1.00,-0.01,0.02,-0.01,"5,364,811,599.10",https://s2.coinmarketcap.com/static/img/coins/64x64/4943.png,DAI,"Dai (DAI) is a cryptocurrency and operates on the Ethereum platform. Dai has a current supply of 5,365,382,702.664872. The last known price of Dai is 0.99993146 USD and is up 0.02 over the last 24 hours. It is currently trading on 3525 active market(s) with $18,376,340,833.22 traded over the last 24 hours. More information can be found at https://makerdao.com/.",2019-11-22,https://makerdao.com/,N/A,2,8,1,3,2,4,4,3,2,3,57
26,Bitget Token,4.53,0.14,0.05,-2.88,"5,305,504,033.82",https://s2.coinmarketcap.com/static/img/coins/64x64/11092.png,BGB,"Bitget Token (BGB) is a cryptocurrency and operates on the Ethereum platform. Bitget Token has a current supply of 1,169,993,089.2. The last known price of Bitget Token is 4.5346085 USD and is up 0.15 over the last 24 hours. It is currently trading on 31 active market(s) with $33,967,575.42 traded over the last 24 hours. More information can be found at https://www.bitget.com/.",2021-07-29,https://www.bitget.com/,N/A,2,8,1,3,2,4,4,3,2,3,58
27,Pepe,0.00,0.36,4.13,-2.69,"4,686,617,654.74",https://s2.coinmarketcap.com/static/img/coins/64x64/24478.png,PEPE,"Pepe (PEPE) is a cryptocurrency launched in 2023and operates on the Ethereum platform. Pepe has a current supply of 420,689,899,653,543.53949133. The last known price of Pepe is 0.00001113 USD and is up 4.17 over the last 24 hours. It is currently trading on 580 active market(s) with $915,585,929.41 traded over the last 24 hours. More information can be found at https://www.pepe.vip/.",2023-04-17,https://www.pepe.vip/,N/A,2,8,1,3,2,4,4,3,2,3,59
28,Uniswap,7.30,-0.53,-0.26,18.61,"4,587,927,203.64",https://s2.coinmarketcap.com/static/img/coins/64x64/7083.png,UNI,"Uniswap (UNI) is a cryptocurrency launched in 2020and operates on the Ethereum platform. Uniswap has a current supply of 1,000,000,000 with 628,739,836.71 in circulation. The last known price of Uniswap is 7.30919582 USD and is up 0.15 over the last 24 hours. It is currently trading on 1241 active market(s) with $478,712,311.37 traded over the last 24 hours. More information can be found at https://uniswap.org/blog/uni/.",2020-09-17,https://uniswap.org/blog/uni/,N/A,2,8,1,3,2,4,4,3,2,3,60
29,Pi,0.59,0.69,5.51,-6.31,"4,356,669,810.98",https://s2.coinmarketcap.com/static/img/coins/64x64/35697.png,PI,"Pi (PI) is a cryptocurrency launched in 2019. Pi has a current supply of 100,000,000,000 with 7,442,410,348.167771 in circulation. The last known price of Pi is 0.58542184 USD and is up 5.73 over the last 24 hours. It is currently trading on 58 active market(s) with $95,231,142.44 traded over the last 24 hours. More information can be found at https://minepi.com.",2025-02-11,https://minepi.com,https://github.com/orgs/pi-apps/,2,8,1,4,2,4,4,3,2,3,62
30,Aave,275.69,-0.03,-4.00,8.49,"4,179,434,046.99",https://s2.coinmarketcap.com/static/img/coins/64x64/7278.png,AAVE,"Aave (AAVE) is a cryptocurrency and operates on the Ethereum platform. Aave has a current supply of 16,000,000 with 15,159,767.02752545 in circulation. The last known price of Aave is 275.63922156 USD and is down -3.50 over the last 24 hours. It is currently trading on 1091 active market(s) with $674,024,960.58 traded over the last 24 hours. More information can be found at https://aave.com/.",2020-10-02,https://aave.com/,https://github.com/aave,2,8,1,4,10,4,4,3,2,3,71
31,Bittensor,374.69,0.23,1.95,-0.93,"3,307,969,256.75",https://s2.coinmarketcap.com/static/img/coins/64x64/22974.png,TAO,"Bittensor (TAO) is a cryptocurrency launched in 2021. Bittensor has a current supply of 8,828,617. The last known price of Bittensor is 372.39525353 USD and is up 1.68 over the last 24 hours. It is currently trading on 156 active market(s) with $91,149,836.86 traded over the last 24 hours. More information can be found at https://bittensor.com.",2023-03-06,https://bittensor.com,https://github.com/opentensor/BitTensor,2,8,1,4,2,4,4,3,2,3,64
32,OKB,51.70,-0.01,-0.04,-0.71,"3,102,168,467.34",https://s2.coinmarketcap.com/static/img/coins/64x64/3897.png,OKB,"OKB (OKB) is a cryptocurrency and operates on the Ethereum platform. OKB has a current supply of 300,000,000 with 60,000,000 in circulation. The last known price of OKB is 51.67278916 USD and is down -0.04 over the last 24 hours. It is currently trading on 141 active market(s) with $3,559,606.63 traded over the last 24 hours. More information can be found at https://www.okx.com/.",2019-04-30,https://www.okx.com/,N/A,2,8,1,4,2,4,4,3,2,3,65
33,Internet Computer,5.61,-0.49,3.70,10.78,"2,998,188,671.02",https://s2.coinmarketcap.com/static/img/coins/64x64/8916.png,ICP,"Internet Computer (ICP) is a cryptocurrency launched in 2021. Internet Computer has a current supply of 534,104,150.39001765. The last known price of Internet Computer is 5.58594883 USD and is up 3.38 over the last 24 hours. It is currently trading on 339 active market(s) with $98,775,150.34 traded over the last 24 hours. More information can be found at https://internetcomputer.org/.",2021-03-23,https://internetcomputer.org/,https://github.com/dfinity/ic,2,8,1,4,2,4,4,3,2,3,66
34,Aptos,4.53,0.40,2.19,-4.33,"2,905,841,924.17",https://s2.coinmarketcap.com/static/img/coins/64x64/21794.png,APT,"Aptos (APT) is a cryptocurrency launched in 2022. Aptos has a current supply of 1,149,346,061.0641544 with 641,259,117.1554745 in circulation. The last known price of Aptos is 4.52733557 USD and is up 2.37 over the last 24 hours. It is currently trading on 512 active market(s) with $110,509,008.72 traded over the last 24 hours. More information can be found at https://aptosfoundation.org.",2022-10-19,https://aptosfoundation.org,https://github.com/aptos-labs,2,8,1,4,2,4,4,3,2,3,67
35,Cronos,0.09,0.08,1.15,-5.82,"2,745,371,155.27",https://s2.coinmarketcap.com/static/img/coins/64x64/3635.png,CRO,"Cronos (CRO) is a cryptocurrency . Cronos has a current supply of 97,543,210,869 with 29,897,519,577.597633 in circulation. The last known price of Cronos is 0.09178788 USD and is up 1.12 over the last 24 hours. It is currently trading on 290 active market(s) with $15,607,014.65 traded over the last 24 hours. More information can be found at https://cronos.org/.",2018-12-14,https://cronos.org/,https://github.com/crypto-org-chain/,2,8,1,4,2,4,4,3,2,3,68
36,NEAR Protocol,2.23,0.18,0.02,-8.20,"2,735,454,911.09",https://s2.coinmarketcap.com/static/img/coins/64x64/6535.png,NEAR,"NEAR Protocol (NEAR) is a cryptocurrency launched in 2020. NEAR Protocol has a current supply of 1,255,290,985 with 1,226,812,603 in circulation. The last known price of NEAR Protocol is 2.22299408 USD and is down -0.22 over the last 24 hours. It is currently trading on 520 active market(s) with $155,569,136.55 traded over the last 24 hours. More information can be found at https://near.org/.",2020-08-11,https://near.org/,https://github.com/near,2,8,1,4,2,4,4,3,2,3,69
37,Ethereum Classic,16.79,0.33,2.51,-2.24,"2,556,624,697.86",https://s2.coinmarketcap.com/static/img/coins/64x64/1321.png,ETC,"Ethereum Classic (ETC) is a cryptocurrency launched in 2015. Users are able to generate ETC through the process of mining. Ethereum Classic has a current supply of 210,700,000 with 152,313,637.43118498 in circulation. The last known price of Ethereum Classic is 16.75997063 USD and is up 2.58 over the last 24 hours. It is currently trading on 630 active market(s) with $82,282,318.80 traded over the last 24 hours. More information can be found at https://ethereumclassic.org/.",2016-07-24,https://ethereumclassic.org/,https://github.com/ethereumclassic/ethereumclassic.github.io,2,8,1,4,2,4,4,3,2,3,70
38,Ondo,0.80,0.25,2.72,-4.69,"2,519,064,903.59",https://s2.coinmarketcap.com/static/img/coins/64x64/21159.png,ONDO,"Ondo (ONDO) is a cryptocurrency launched in 2021and operates on the Ethereum platform. Ondo has a current supply of 10,000,000,000 with 3,159,107,529 in circulation. The last known price of Ondo is 0.79799308 USD and is up 3.03 over the last 24 hours. It is currently trading on 314 active market(s) with $110,720,512.57 traded over the last 24 hours. More information can be found at https://ondo.foundation/.",2024-01-18,https://ondo.foundation/,https://github.com/ondoprotocol,2,8,1,4,2,4,4,3,2,3,71
39,World Liberty Financial USD,1.00,-0.01,0.03,0.01,"2,190,007,841.57",https://s2.coinmarketcap.com/static/img/coins/64x64/36148.png,USD1,"World Liberty Financial USD (USD1) is a cryptocurrency and operates on the Ethereum platform. World Liberty Financial USD has a current supply of 2,189,091,086. The last known price of World Liberty Financial USD is 1.00048203 USD and is up 0.04 over the last 24 hours. It is currently trading on 221 active market(s) with $863,258,920.65 traded over the last 24 hours. More information can be found at https://www.worldlibertyfinancial.com/.",2025-04-13,https://www.worldlibertyfinancial.com/,https://github.com/worldliberty/usd1-smart-contracts,2,8,1,3,2,4,4,3,2,3,71
40,Mantle,0.64,-0.07,-0.07,-1.30,"2,161,906,000.15",https://s2.coinmarketcap.com/static/img/coins/64x64/27075.png,MNT,"Mantle (MNT) is a cryptocurrency launched in 2021and operates on the Ethereum platform. Mantle has a current supply of 6,219,316,794.99 with 3,365,794,382.8368406 in circulation. The last known price of Mantle is 0.6424201 USD and is up 0.45 over the last 24 hours. It is currently trading on 144 active market(s) with $184,761,299.91 traded over the last 24 hours. More information can be found at https://group.mantle.xyz/.",2023-07-17,https://group.mantle.xyz/,https://github.com/mantlenetworkio,2,8,1,3,2,4,4,3,2,3,72
41,POL (prev. MATIC),0.20,0.20,0.35,-5.98,"2,113,424,357.18",https://s2.coinmarketcap.com/static/img/coins/64x64/28321.png,POL,"POL (prev. MATIC) (POL) is a cryptocurrency and operates on the Ethereum platform. POL (prev. MATIC) has a current supply of 10,446,345,255.98614889. The last known price of POL (prev. MATIC) is 0.20219326 USD and is up 0.58 over the last 24 hours. It is currently trading on 539 active market(s) with $114,112,610.40 traded over the last 24 hours. More information can be found at https://polygon.technology/.",2023-10-30,https://polygon.technology/,https://github.com/maticnetwork/contracts,2,8,1,3,2,4,4,3,2,3,73
42,GateToken,17.16,-0.54,0.06,-7.46,"2,109,112,746.57",https://s2.coinmarketcap.com/static/img/coins/64x64/4269.png,GT,"GateToken (GT) is a cryptocurrency launched in 2019and operates on the Ethereum platform. GateToken has a current supply of 133,600,000 with 122,910,588 in circulation. The last known price of GateToken is 17.17755584 USD and is up 0.22 over the last 24 hours. It is currently trading on 36 active market(s) with $11,252,977.05 traded over the last 24 hours. More information can be found at https://gatechain.io/.",2019-08-20,https://gatechain.io/,https://github.com/gatechain,2,8,1,3,2,4,4,3,2,3,74
43,OFFICIAL TRUMP,10.18,0.18,2.38,-2.72,"2,036,871,686.80",https://s2.coinmarketcap.com/static/img/coins/64x64/35336.png,TRUMP,"OFFICIAL TRUMP (TRUMP) is a cryptocurrency and operates on the Solana platform. OFFICIAL TRUMP has a current supply of 999,999,380.239397 with 199,999,355.87539 in circulation. The last known price of OFFICIAL TRUMP is 10.16493812 USD and is up 2.03 over the last 24 hours. It is currently trading on 593 active market(s) with $294,895,876.89 traded over the last 24 hours. More information can be found at https://gettrumpmemes.com/.",2025-01-18,https://gettrumpmemes.com/,N/A,2,8,1,4,2,4,4,3,2,3,76
44,Kaspa,0.08,1.16,-2.13,-13.27,"2,002,409,610.83",https://s2.coinmarketcap.com/static/img/coins/64x64/20396.png,KAS,"Kaspa (KAS) is a cryptocurrency launched in 2021. Users are able to generate KAS through the process of mining. Kaspa has a current supply of 26,312,155,359.400967. The last known price of Kaspa is 0.0762055 USD and is down -1.90 over the last 24 hours. It is currently trading on 189 active market(s) with $58,289,772.83 traded over the last 24 hours. More information can be found at https://www.kaspa.org.",2022-06-01,https://www.kaspa.org,https://github.com/kaspanet/rusty-kaspa,2,8,1,4,2,4,4,3,2,3,77
45,VeChain,0.02,0.17,0.66,-8.87,"1,915,084,990.20",https://s2.coinmarketcap.com/static/img/coins/64x64/3077.png,VET,"VeChain (VET) is a cryptocurrency . VeChain has a current supply of 85,985,041,177. The last known price of VeChain is 0.02228693 USD and is up 0.59 over the last 24 hours. It is currently trading on 345 active market(s) with $29,885,134.71 traded over the last 24 hours. More information can be found at https://www.vechain.org/.",2017-08-22,https://www.vechain.org/,https://github.com/vechain,2,8,1,4,2,4,4,3,2,3,78
46,Sky,0.09,0.79,11.33,23.50,"1,867,517,570.49",https://s2.coinmarketcap.com/static/img/coins/64x64/33038.png,SKY,"Sky (SKY) is a cryptocurrency and operates on the Ethereum platform. Sky has a current supply of 28,449,866,326.97857623 with 21,324,372,702.80795065 in circulation. The last known price of Sky is 0.08750033 USD and is up 11.31 over the last 24 hours. It is currently trading on 26 active market(s) with $8,673,237.38 traded over the last 24 hours. More information can be found at https://sky.money/.",2024-09-18,https://sky.money/,N/A,2,8,1,4,2,4,4,3,2,3,79
47,Ethena,0.30,0.28,1.07,-5.84,"1,802,636,175.80",https://s2.coinmarketcap.com/static/img/coins/64x64/30171.png,ENA,"Ethena (ENA) is a cryptocurrency and operates on the Ethereum platform. Ethena has a current supply of 15,000,000,000 with 6,087,500,000 in circulation. The last known price of Ethena is 0.29632161 USD and is up 1.27 over the last 24 hours. It is currently trading on 290 active market(s) with $185,397,091.00 traded over the last 24 hours. More information can be found at https://www.ethena.fi/.",2024-03-29,https://www.ethena.fi/,https://github.com/ethena-labs,2,8,1,4,2,4,4,3,2,3,80
48,Render,3.43,0.34,1.40,-12.13,"1,775,415,599.21",https://s2.coinmarketcap.com/static/img/coins/64x64/5690.png,RENDER,"Render (RENDER) is a cryptocurrency launched in 2019and operates on the Ethereum platform. Render has a current supply of 532,654,000.33628262 with 517,893,827.05628262 in circulation. The last known price of Render is 3.42636337 USD and is up 1.18 over the last 24 hours. It is currently trading on 565 active market(s) with $67,131,364.26 traded over the last 24 hours. More information can be found at https://rendernetwork.com/.",2020-06-11,https://rendernetwork.com/,N/A,2,8,1,4,2,4,4,3,2,3,81
